Year,Host,Stage,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team
1998,France,Group Stage,Spain,Bulgaria,6,1,Spain,Bulgaria
1998,France,Group Stage,Belgium,South Korea,1,1,Draw,Draw
1998,France,Group Stage,Germany,Iran,2,0,Germany,Iran
1998,France,Group Stage,Netherlands,Mexico,2,2,Draw,Draw
1998,France,Group Stage,United States,Serbia,0,1,Serbia,United States
1998,France,Group Stage,Argentina,Croatia,1,0,Argentina,Croatia
1998,France,Group Stage,Colombia,England,0,2,England,Colombia
1998,France,Group Stage,Japan,Jamaica,1,2,Jamaica,Japan
1998,France,Group Stage,Romania,Tunisia,1,1,Draw,Draw
1998,France,Round of 16,Brazil,Chile,4,1,Brazil,Chile
1998,France,Round of 16,Italy,Norway,1,0,Italy,Norway
1998,France,Round of 16,France,Paraguay,1,0,France,Paraguay
1998,France,Round of 16,Nigeria,Denmark,1,4,Denmark,Nigeria
1998,France,Round of 16,Germany,Mexico,2,1,Germany,Mexico
1998,France,Round of 16,Netherlands,FR Yugoslavia,2,1,Netherlands,FR Yugoslavia
1998,France,Round of 16,Argentina,England,2,2,Argentina,England
1998,France,Round of 16,Romania,Croatia,0,1,Croatia,Romania
1998,France,Quarterfinals,Brazil,Denmark,3,2,Brazil,Denmark
1998,France,Quarterfinals,France,Italy,0,0,France,Italy
1998,France,Quarterfinals,Germany,Croatia,0,3,Croatia,Germany
1998,France,Quarterfinals,Netherlands,Argentina,2,1,Netherlands,Argentina
1998,France,Semifinals,Brazil,Netherlands,1,1,Brazil,Netherlands
1998,France,Semifinals,France,Croatia,2,1,France,Croatia
1998,France,Third place,Netherlands,Croatia,1,2,Croatia,Netherlands
1998,France,Final,France,Brazil,3,0,France,Brazil
2002,South Korea,Group Stage,France,Senegal,0,1,Senegal,France
2002,Japan,Group Stage,Germany,Saudi Arabia,8,0,Germany,Saudi Arabia
2002,Japan,Group Stage,Republic of Ireland,Cameroon,1,1,Draw,Draw
2002,South Korea,Group Stage,Uruguay,Denmark,1,2,Denmark,Uruguay
2002,Japan,Group Stage,Argentina,Nigeria,1,0,Argentina,Nigeria
2002,Japan,Group Stage,England,Sweden,1,1,Draw,Draw
2002,South Korea,Group Stage,Paraguay,South Africa,2,2,Draw,Draw
2002,South Korea,Group Stage,Spain,Slovenia,3,1,Spain,Slovenia
2002,South Korea,Group Stage,Brazil,Turkey,2,1,Brazil,Turkey
2002,Japan,Group Stage,Croatia,Mexico,0,1,Mexico,Croatia
2002,Japan,Group Stage,Italy,Ecuador,2,0,Italy,Ecuador
2002,South Korea,Group Stage,China PR,Costa Rica,0,2,Costa Rica,China PR
2002,Japan,Group Stage,Japan,Belgium,2,2,Draw,Draw
2002,South Korea,Group Stage,South Korea,Poland,2,0,South Korea,Poland
2002,Japan,Group Stage,Germany,Republic of Ireland,1,1,Draw,Draw
2002,Japan,Group Stage,Russia,Tunisia,2,0,Russia,Tunisia
2002,South Korea,Group Stage,United States,Portugal,3,2,United States,Portugal
2002,Japan,Group Stage,Cameroon,Saudi Arabia,1,0,Cameroon,Saudi Arabia
2002,South Korea,Group Stage,Denmark,Senegal,1,1,Draw,Draw
2002,South Korea,Group Stage,France,Uruguay,0,0,Draw,Draw
2002,Japan,Group Stage,Argentina,England,0,1,England,Argentina
2002,South Korea,Group Stage,Spain,Paraguay,3,1,Spain,Paraguay
2002,Japan,Group Stage,Sweden,Nigeria,2,1,Sweden,Nigeria
2002,South Korea,Group Stage,Brazil,China PR,4,0,Brazil,China PR
2002,Japan,Group Stage,Italy,Croatia,1,2,Croatia,Italy
2002,South Korea,Group Stage,South Africa,Slovenia,1,0,South Africa,Slovenia
2002,South Korea,Group Stage,Costa Rica,Turkey,1,1,Draw,Draw
2002,Japan,Group Stage,Japan,Russia,1,0,Japan,Russia
2002,Japan,Group Stage,Mexico,Ecuador,2,1,Mexico,Ecuador
2002,South Korea,Group Stage,South Korea,United States,1,1,Draw,Draw
2002,South Korea,Group Stage,Portugal,Poland,4,0,Portugal,Poland
2002,Japan,Group Stage,Tunisia,Belgium,1,1,Draw,Draw
2002,Japan,Group Stage,Cameroon,Germany,0,2,Germany,Cameroon
2002,South Korea,Group Stage,Denmark,France,2,0,Denmark,France
2002,Japan,Group Stage,Saudi Arabia,Republic of Ireland,0,3,Republic of Ireland,Saudi Arabia
2002,South Korea,Group Stage,Senegal,Uruguay,3,3,Draw,Draw
2002,Japan,Group Stage,Nigeria,England,0,0,Draw,Draw
2002,South Korea,Group Stage,Slovenia,Paraguay,1,3,Paraguay,Slovenia
2002,South Korea,Group Stage,South Africa,Spain,2,3,Spain,South Africa
2002,Japan,Group Stage,Sweden,Argentina,1,1,Draw,Draw
2002,South Korea,Group Stage,Costa Rica,Brazil,2,5,Brazil,Costa Rica
2002,Japan,Group Stage,Ecuador,Croatia,1,0,Ecuador,Croatia
2002,Japan,Group Stage,Mexico,Italy,1,1,Draw,Draw
2002,South Korea,Group Stage,Turkey,China PR,3,0,Turkey,China PR
2002,Japan,Group Stage,Belgium,Russia,3,2,Belgium,Russia
2002,Japan,Group Stage,Japan,Tunisia,2,0,Japan,Tunisia
2002,South Korea,Group Stage,South Korea,Portugal,1,0,South Korea,Portugal
2002,South Korea,Group Stage,Poland,United States,3,1,Poland,United States
2002,Japan,Round of 16,Denmark,England,0,3,England,Denmark
2002,South Korea,Round of 16,Germany,Paraguay,1,0,Germany,Paraguay
2002,South Korea,Round of 16,Spain,Republic of Ireland,1,1,Spain,Republic of Ireland
2002,Japan,Round of 16,Sweden,Senegal,1,2,Senegal,Sweden
2002,Japan,Round of 16,Brazil,Belgium,2,0,Brazil,Belgium
2002,South Korea,Round of 16,Mexico,United States,0,2,United States,Mexico
2002,Japan,Round of 16,Japan,Turkey,0,1,Turkey,Japan
2002,South Korea,Round of 16,South Korea,Italy,2,1,South Korea,Italy
2002,Japan,Quarterfinals,England,Brazil,1,2,Brazil,England
2002,South Korea,Quarterfinals,Germany,United States,1,0,Germany,United States
2002,South Korea,Quarterfinals,South Korea,Spain,0,0,South Korea,Spain
2002,Japan,Quarterfinals,Senegal,Turkey,0,1,Turkey,Senegal
2002,South Korea,Semifinals,South Korea,Germany,0,1,Germany,South Korea
2002,Japan,Semifinals,Brazil,Turkey,1,0,Brazil,Turkey
2002,South Korea,Third place,South Korea,Turkey,2,3,Turkey,South Korea
2002,Japan,Final,Germany,Brazil,0,2,Brazil,Germany
2006,Germany,Group Stage,Germany,Costa Rica,4,2,Germany,Costa Rica
2006,Germany,Group Stage,Poland,Ecuador,0,2,Ecuador,Poland
2006,Germany,Group Stage,Argentina,Ivory Coast,2,1,Argentina,Ivory Coast
2006,Germany,Group Stage,England,Paraguay,1,0,England,Paraguay
2006,Germany,Group Stage,Trinidad and Tobago,Sweden,0,0,Draw,Draw
2006,Germany,Group Stage,Angola,Portugal,0,1,Portugal,Angola
2006,Germany,Group Stage,Mexico,Iran,3,1,Mexico,Iran
2006,Germany,Group Stage,Serbia,Netherlands,0,1,Netherlands,Serbia
2006,Germany,Group Stage,Australia,Japan,3,1,Australia,Japan
2006,Germany,Group Stage,Italy,Ghana,2,0,Italy,Ghana
2006,Germany,Group Stage,United States,Czech Republic,0,3,Czech Republic,United States
2006,Germany,Group Stage,Brazil,Croatia,1,0,Brazil,Croatia
2006,Germany,Group Stage,France,Switzerland,0,0,Draw,Draw
2006,Germany,Group Stage,South Korea,Togo,2,1,South Korea,Togo
2006,Germany,Group Stage,Germany,Poland,1,0,Germany,Poland
2006,Germany,Group Stage,Spain,Ukraine,4,0,Spain,Ukraine
2006,Germany,Group Stage,Tunisia,Saudi Arabia,2,2,Draw,Draw
2006,Germany,Group Stage,Ecuador,Costa Rica,3,0,Ecuador,Costa Rica
2006,Germany,Group Stage,England,Trinidad and Tobago,2,0,England,Trinidad and Tobago
2006,Germany,Group Stage,Sweden,Paraguay,1,0,Sweden,Paraguay
2006,Germany,Group Stage,Argentina,Serbia,6,0,Argentina,Serbia
2006,Germany,Group Stage,Mexico,Angola,0,0,Draw,Draw
2006,Germany,Group Stage,Netherlands,Ivory Coast,2,1,Netherlands,Ivory Coast
2006,Germany,Group Stage,Czech Republic,Ghana,0,2,Ghana,Czech Republic
2006,Germany,Group Stage,Italy,United States,1,1,Draw,Draw
2006,Germany,Group Stage,Portugal,Iran,2,0,Portugal,Iran
2006,Germany,Group Stage,Brazil,Australia,2,0,Brazil,Australia
2006,Germany,Group Stage,France,South Korea,1,1,Draw,Draw
2006,Germany,Group Stage,Japan,Croatia,0,0,Draw,Draw
2006,Germany,Group Stage,Saudi Arabia,Ukraine,0,4,Ukraine,Saudi Arabia
2006,Germany,Group Stage,Spain,Tunisia,3,1,Spain,Tunisia
2006,Germany,Group Stage,Togo,Switzerland,0,2,Switzerland,Togo
2006,Germany,Group Stage,Costa Rica,Poland,1,2,Poland,Costa Rica
2006,Germany,Group Stage,Germany,Ecuador,3,0,Germany,Ecuador
2006,Germany,Group Stage,Paraguay,Trinidad and Tobago,2,0,Paraguay,Trinidad and Tobago
2006,Germany,Group Stage,Sweden,England,2,2,Draw,Draw
2006,Germany,Group Stage,Iran,Angola,1,1,Draw,Draw
2006,Germany,Group Stage,Ivory Coast,Serbia,3,2,Ivory Coast,Serbia
2006,Germany,Group Stage,Netherlands,Argentina,0,0,Draw,Draw
2006,Germany,Group Stage,Portugal,Mexico,2,1,Portugal,Mexico
2006,Germany,Group Stage,Croatia,Australia,2,2,Draw,Draw
2006,Germany,Group Stage,Czech Republic,Italy,0,2,Italy,Czech Republic
2006,Germany,Group Stage,Ghana,United States,2,1,Ghana,United States
2006,Germany,Group Stage,Japan,Brazil,1,4,Brazil,Japan
2006,Germany,Group Stage,Saudi Arabia,Spain,0,1,Spain,Saudi Arabia
2006,Germany,Group Stage,Switzerland,South Korea,2,0,Switzerland,South Korea
2006,Germany,Group Stage,Togo,France,0,2,France,Togo
2006,Germany,Group Stage,Ukraine,Tunisia,1,0,Ukraine,Tunisia
2006,Germany,Round of 16,Argentina,Mexico,2,1,Argentina,Mexico
2006,Germany,Round of 16,Germany,Sweden,2,0,Germany,Sweden
2006,Germany,Round of 16,England,Ecuador,1,0,England,Ecuador
2006,Germany,Round of 16,Portugal,Netherlands,1,0,Portugal,Netherlands
2006,Germany,Round of 16,Italy,Australia,1,0,Italy,Australia
2006,Germany,Round of 16,Switzerland,Ukraine,0,0,Ukraine,Switzerland
2006,Germany,Round of 16,Brazil,Ghana,3,0,Brazil,Ghana
2006,Germany,Round of 16,Spain,France,1,3,France,Spain
2006,Germany,Quarterfinals,Germany,Argentina,1,1,Germany,Argentina
2006,Germany,Quarterfinals,Italy,Ukraine,3,0,Italy,Ukraine
2006,Germany,Quarterfinals,Brazil,France,0,1,France,Brazil
2006,Germany,Quarterfinals,England,Portugal,0,0,Portagul,England
2006,Germany,Semifinals,Germany,Italy,0,2,Italy,Germany
2006,Germany,Semifinals,Portugal,France,0,1,France,Portugal
2006,Germany,Third place,Germany,Portugal,3,1,Germany,Portugal
2006,Germany,Final,Italy,France,1,1,Italy,France
2010,South Africa,Group Stage,South Africa,Mexico,1,1,Draw,Draw
2010,South Africa,Group Stage,Uruguay,France,0,0,Draw,Draw
2010,South Africa,Group Stage,Argentina,Nigeria,1,0,Argentina,Nigeria
2010,South Africa,Group Stage,England,United States,1,1,Draw,Draw
2010,South Africa,Group Stage,South Korea,Greece,2,0,South Korea,Greece
2010,South Africa,Group Stage,Algeria,Slovenia,0,1,Slovenia,Algeria
2010,South Africa,Group Stage,Germany,Australia,4,0,Germany,Australia
2010,South Africa,Group Stage,Serbia,Ghana,0,1,Ghana,Serbia
2010,South Africa,Group Stage,Italy,Paraguay,1,1,Draw,Draw
2010,South Africa,Group Stage,Japan,Cameroon,1,0,Japan,Cameroon
2010,South Africa,Group Stage,Netherlands,Denmark,2,0,Netherlands,Denmark
2010,South Africa,Group Stage,Brazil,North Korea,2,1,Brazil,North Korea
2010,South Africa,Group Stage,Ivory Coast,Portugal,0,0,Draw,Draw
2010,South Africa,Group Stage,New Zealand,Slovakia,1,1,Draw,Draw
2010,South Africa,Group Stage,Honduras,Chile,0,1,Chile,Honduras
2010,South Africa,Group Stage,South Africa,Uruguay,0,3,Uruguay,South Africa
2010,South Africa,Group Stage,Spain,Switzerland,0,1,Switzerland,Spain
2010,South Africa,Group Stage,Argentina,South Korea,4,1,Argentina,South Korea
2010,South Africa,Group Stage,France,Mexico,0,2,Mexico,France
2010,South Africa,Group Stage,Greece,Nigeria,2,1,Greece,Nigeria
2010,South Africa,Group Stage,England,Algeria,0,0,Draw,Draw
2010,South Africa,Group Stage,Germany,Serbia,0,1,Serbia,Germany
2010,South Africa,Group Stage,Slovenia,United States,2,2,Draw,Draw
2010,South Africa,Group Stage,Cameroon,Denmark,1,2,Denmark,Cameroon
2010,South Africa,Group Stage,Ghana,Australia,1,1,Draw,Draw
2010,South Africa,Group Stage,Netherlands,Japan,1,0,Netherlands,Japan
2010,South Africa,Group Stage,Brazil,Ivory Coast,3,1,Brazil,Ivory Coast
2010,South Africa,Group Stage,Italy,New Zealand,1,1,Draw,Draw
2010,South Africa,Group Stage,Slovakia,Paraguay,0,2,Paraguay,Slovakia
2010,South Africa,Group Stage,Chile,Switzerland,1,0,Chile,Switzerland
2010,South Africa,Group Stage,Portugal,North Korea,7,0,Portugal,North Korea
2010,South Africa,Group Stage,Spain,Honduras,2,0,Spain,Honduras
2010,South Africa,Group Stage,Greece,Argentina,0,2,Argentina,Greece
2010,South Africa,Group Stage,Mexico,Uruguay,0,1,Uruguay,Mexico
2010,South Africa,Group Stage,Nigeria,South Korea,2,2,Draw,Draw
2010,South Africa,Group Stage,South Africa,France,2,1,South Africa,France
2010,South Africa,Group Stage,Australia,Serbia,2,1,Australia,Serbia
2010,South Africa,Group Stage,Ghana,Germany,0,1,Germany,Ghana
2010,South Africa,Group Stage,Slovenia,England,0,1,England,Slovenia
2010,South Africa,Group Stage,United States,Algeria,1,0,United States,Algeria
2010,South Africa,Group Stage,Cameroon,Netherlands,1,2,Netherlands,Cameroon
2010,South Africa,Group Stage,Denmark,Japan,1,3,Japan,Denmark
2010,South Africa,Group Stage,Paraguay,New Zealand,0,0,Draw,Draw
2010,South Africa,Group Stage,Slovakia,Italy,3,2,Slovakia,Italy
2010,South Africa,Group Stage,Chile,Spain,1,2,Spain,Chile
2010,South Africa,Group Stage,North Korea,Ivory Coast,0,3,Ivory Coast,North Korea
2010,South Africa,Group Stage,Portugal,Brazil,0,0,Draw,Draw
2010,South Africa,Group Stage,Switzerland,Honduras,0,0,Draw,Draw
2010,South Africa,Round of 16,Uruguay,South Korea,2,1,Uruguay,South Korea
2010,South Africa,Round of 16,United States,Ghana,1,2,Ghana,United States
2010,South Africa,Round of 16,Argentina,Mexico,3,1,Argentina,Mexico
2010,South Africa,Round of 16,Germany,England,4,1,Germany,England
2010,South Africa,Round of 16,Brazil,Chile,3,0,Brazil,Chile
2010,South Africa,Round of 16,Netherlands,Slovakia,2,1,Netherlands,Slovakia
2010,South Africa,Round of 16,Paraguay,Japan,0,0,Paraguay,Japan
2010,South Africa,Round of 16,Spain,Portugal,1,0,Spain,Portugal
2010,South Africa,Quarterfinals,Netherlands,Brazil,2,1,Netherlands,Brazil
2010,South Africa,Quarterfinals,Uruguay,Ghana,1,1,Uruguay,Ghana
2010,South Africa,Quarterfinals,Argentina,Germany,0,4,Germany,Argentina
2010,South Africa,Quarterfinals,Paraguay,Spain,0,1,Spain,Paraguay
2010,South Africa,Semifinals,Uruguay,Netherlands,2,3,Netherlands,Uruguay
2010,South Africa,Semifinals,Germany,Spain,0,1,Spain,Germany
2010,South Africa,Third place,Uruguay,Germany,2,3,Germany,Uruguay
2010,South Africa,Final,Netherlands,Spain,0,1,Spain,Netherlands
2014,Brazil,Group Stage,Brazil,Croatia,3,1,Brazil,Croatia
2014,Brazil,Group Stage,Chile,Australia,3,1,Chile,Australia
2014,Brazil,Group Stage,Mexico,Cameroon,1,0,Mexico,Cameroon
2014,Brazil,Group Stage,Spain,Netherlands,1,5,Netherlands,Spain
2014,Brazil,Group Stage,Colombia,Greece,3,0,Colombia,Greece
2014,Brazil,Group Stage,England,Italy,1,2,Italy,England
2014,Brazil,Group Stage,Ivory Coast,Japan,2,1,Ivory Coast,Japan
2014,Brazil,Group Stage,Uruguay,Costa Rica,1,3,Costa Rica,Uruguay
2014,Brazil,Group Stage,Argentina,Bosnia and Herzegovina,2,1,Argentina,Bosnia and Herzegovina
2014,Brazil,Group Stage,France,Honduras,3,0,France,Honduras
2014,Brazil,Group Stage,Switzerland,Ecuador,2,1,Switzerland,Ecuador
2014,Brazil,Group Stage,Germany,Portugal,4,0,Germany,Portugal
2014,Brazil,Group Stage,Ghana,United States,1,2,United States,Ghana
2014,Brazil,Group Stage,Iran,Nigeria,0,0,Draw,Draw
2014,Brazil,Group Stage,Belgium,Algeria,2,1,Belgium,Algeria
2014,Brazil,Group Stage,Brazil,Mexico,0,0,Draw,Draw
